3.07999992,0,0,0,0,0,0,0,0,0,0,0
5.34200001,4.59794998,0,0,0,0,0,0,0,0,0,0
0,4.72990036,2.14890003,10.3235502,12.3003998,14.2772503,0,0,0,0,0,0
0,0,6.37069988,7.8795495,0,0,0,0,0,0,0,0
0,0,6.54360008,8.0934,9.64319992,0,0,0,0,0,0,0
0,0,0,8.30724907,9.89799976,4.11937475,4.80249977,6.96362495,9.12474918,0,0,0
0,0,0,7.39074945,8.80599976,10.2212496,3.14499998,0,0,0,0,0
0,0,0,0,9.0607996,10.5170002,3.23600006,4.69220018,0,0,0,0
0,0,0,10.5526743,3.25779986,10.8127499,3.3269999,4.82415009,6.32129955,0,0,0
0,0,0,0,0,11.1084995,1.20899999,1.75305009,2.29710007,0,0,0
0,0,0,0,0,11.4042492,3.50899982,5.08804989,6.66709948,0,0,0
0,0,0,0,0,13.5801258,1.05949998,1.53627503,2.01304984,0,0,0
0,0,0,0,0,0,3.21000004,1.6022501,2.09949994,12.7369995,12.0819998,0
0,0,0,0,0,0,0,4.78644991,6.2718997,0,0,0
0,0,0,0,0,0,4.58799982,6.65259981,2.2723999,0,9.4975996,0
0,0,0,0,0,0,0,0,6.6177001,0,9.7524004,4.03487492
0,0,0,0,0,0,0,0,0,0,0,10.0522499
0,0,0,0,0,0,0,0,0,0,0,10.3479996
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
