nodes,edges,graph_kind,shape,cpu_ms_per_run,gpu_ms_per_run,speedup_cpu_over_gpu,cpu_samples,gpu_samples
96,320,layered,"layers=6, nodes_per_layer=16, fanout=4",0.003120000,0.333088000,0.009366894,1,1
512,1792,layered,"layers=8, nodes_per_layer=64, fanout=4",0.002560000,0.431052800,0.005938948,1,1
4096,30720,layered,"layers=16, nodes_per_layer=256, fanout=8",0.024340000,0.704345600,0.034556899,1,1
16384,126976,layered,"layers=32, nodes_per_layer=512, fanout=8",0.113440000,1.575379200,0.072008060,1,1
49152,385024,layered,"layers=48, nodes_per_layer=1024, fanout=8",0.290700000,1.837267200,0.158224128,1,1
131072,1032192,layered,"layers=64, nodes_per_layer=2048, fanout=8",0.584240000,3.297164800,0.177194661,1,1
262144,2064384,layered,"layers=64, nodes_per_layer=4096, fanout=8",1.431800000,3.166489600,0.452172652,1,1
786432,6225920,layered,"layers=96, nodes_per_layer=8192, fanout=8",4.704020000,4.531129600,1.038156137,1,1
2097152,16646144,layered,"layers=128, nodes_per_layer=16384, fanout=8",12.732360000,7.342867400,1.733976566,1,1
